Num,Sensor,G1,G2,G3,G4,G5
1,S1_245,6.151,6.199,4.184,4.539,4.369
2,S2_245,5.28,5.042,13.327,4.934,2.014
3,S3_245,3.355,3.279,8.918,2.78,1.697
4,S4_245,4.012,4.227,3.751,3.297,3.539
5,S1_285,5.506,5.051,3.312,5.377,6.678
6,S2_285,5.137,5.246,13.328,5.178,3.293
7,S3_285,3.349,3.424,8.645,2.943,3.026
8,S4_285,3.761,3.505,1.339,3.203,4.906
9,S1_310,3.281,4.24,2.162,4.695,5.683
10,S2_310,3.868,4.467,5.959,4.261,2.429
11,S3_310,2.343,2.942,4.412,2.659,2.086
12,S4_310,2.379,3.123,0.656,3.382,4.215
13,S1_325,5.602,4.847,0.967,5.645,3.837
14,S2_325,6.575,6.261,8.528,7.57,4.847
15,S3_325,4.504,4.313,6.255,5.108,4.545
16,S4_325,4.315,3.532,0.344,4.158,3.236
17,S1_340,8,7.98,0.657,7.088,9.669
18,S2_340,9.593,9.301,6.875,10.997,11.023
19,S3_340,6.978,7.248,6.101,7.328,10.353
20,S4_340,6.013,5.773,0.372,4.859,8.554
